FID,KODE_UNSUR,PELAKSANA,TOPONIM,UPDATED,F_AREA,PROVINSI,KECAMATAN,DESA,PROVNO,KABKOTNO,KECNO,DESANO,IDSP2010,KABKOT,SUMBER,R401A,R401B,R401C,R501A,R501B,PLN_HHOLD,TOT_POP,PCT_PLN,NUM_HHOLDS,NUM_PLN,CLUSTAREA,CLUSTRATIO,CLUSTPOP,Sum_CLUSTA,Longitude,Latitude,X,Y
128,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,1004.5934,MALUKU UTARA,MANGOLI SELATAN,KAPORO,82,3,42,5,8203042005,KEPULAUAN SULA,BADAN PUSAT STATISTIK,376,322,140,0,32,0,678,0.007937,126,1,0.001005,0.237354,161,0.004232,125.704492,-1.928915,800885,9786557
129,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,592.91025,MALUKU UTARA,MANGOLI SELATAN,KAPORO,82,3,42,5,8203042005,KEPULAUAN SULA,BADAN PUSAT STATISTIK,376,322,140,0,32,0,678,0.007937,126,1,0.000593,0.140086,95,0.004232,125.712029,-1.928673,801724,9786582
130,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,1142.20165,MALUKU UTARA,MANGOLI SELATAN,KAPORO,82,3,42,5,8203042005,KEPULAUAN SULA,BADAN PUSAT STATISTIK,376,322,140,0,32,0,678,0.007937,126,1,0.001142,0.269867,183,0.004232,125.704843,-1.928774,800924,9786573
131,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,31810.59455,MALUKU UTARA,MANGOLI SELATAN,WAILAB,82,3,42,6,8203042006,KEPULAUAN SULA,BADAN PUSAT STATISTIK,423,367,165,0,75,0,767,0,149,0,0.031811,1,767,0.031811,125.678848,-1.929874,798030,9786455
132,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,112344.244,MALUKU UTARA,TALIABU TIMUR,PARIGI,82,3,50,6,8203050006,KEPULAUAN SULA,BADAN PUSAT STATISTIK,475,447,256,0,247,0,927,0,217,0,0.112344,1,927,0.112344,125.197811,-1.734613,744510,9808131
133,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,76324.8051,MALUKU UTARA,TALIABU TIMUR,PENU,82,3,50,7,8203050007,KEPULAUAN SULA,BADAN PUSAT STATISTIK,405,456,230,0,37,0,870,0.006098,164,1,0.076325,1,870,0.076325,125.108218,-1.700103,734543,9811959
134,50102,"EKSA ANUGRAH MANDIRI, PT.",SAMUYA,20070813,223531.1696,MALUKU UTARA,TALIABU TIMUR,SAMUYA,82,3,50,8,8203050008,KEPULAUAN SULA,BADAN PUSAT STATISTIK,567,488,247,0,108,0,1078,0.007491,267,2,0.223531,1,1078,0.223531,125.284628,-1.791008,754166,9801881
135,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,19073.2395,MALUKU UTARA,TALIABU TIMUR,TUBANG,82,3,50,9,8203050009,KEPULAUAN SULA,BADAN PUSAT STATISTIK,356,314,64,0,5,0,667,0,171,0,0.019073,0.119787,80,0.159227,125.073945,-1.788824,730717,9802150
136,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,39608.64025,MALUKU UTARA,TALIABU TIMUR,TUBANG,82,3,50,9,8203050009,KEPULAUAN SULA,BADAN PUSAT STATISTIK,356,314,64,0,5,0,667,0,171,0,0.039609,0.248756,166,0.159227,125.099186,-1.761648,733530,9805153
137,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,100544.9156,MALUKU UTARA,TALIABU TIMUR,TUBANG,82,3,50,9,8203050009,KEPULAUAN SULA,BADAN PUSAT STATISTIK,356,314,64,0,5,0,667,0,171,0,0.100545,0.631457,421,0.159227,125.095929,-1.761269,733167,9805195
138,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,5536.85895,MALUKU UTARA,TALIABU TIMUR SELATAN,KABUNU,82,3,51,1,8203051001,KEPULAUAN SULA,BADAN PUSAT STATISTIK,341,262,152,0,49,0,588,0.021739,138,3,0.005537,1,588,0.005537,124.895744,-1.925645,710869,9787040
139,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,76217.52328,MALUKU UTARA,TALIABU TIMUR SELATAN,SOFAN,82,3,51,2,8203051002,KEPULAUAN SULA,BADAN PUSAT STATISTIK,459,453,200,0,92,0,910,0,223,0,0.076218,1,910,0.076218,124.945261,-1.926499,716379,9786940
140,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,142621.6671,MALUKU UTARA,TALIABU TIMUR SELATAN,KAWADANG,82,3,51,3,8203051003,KEPULAUAN SULA,BADAN PUSAT STATISTIK,510,486,183,0,63,0,991,0.016304,184,3,0.142622,1,991,0.142622,124.989058,-1.930727,721252,9786466
141,50102,"EKSA ANUGRAH MANDIRI, PT.",LOSENG,20070813,158005.5497,MALUKU UTARA,TALIABU TIMUR SELATAN,LOSSENG,82,3,51,4,8203051004,KEPULAUAN SULA,BADAN PUSAT STATISTIK,529,447,253,0,32,0,973,0,172,0,0.158006,0.539199,525,0.293038,125.016,-1.911728,724253,9788564
142,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,135032.0979,MALUKU UTARA,TALIABU TIMUR SELATAN,LOSSENG,82,3,51,4,8203051004,KEPULAUAN SULA,BADAN PUSAT STATISTIK,529,447,253,0,32,0,973,0,172,0,0.135032,0.460801,448,0.293038,125.033305,-1.876174,726183,9792494
143,50102,"EKSA ANUGRAH MANDIRI, PT.",WAISULA,20070813,477386.4684,MALUKU UTARA,TALIABU TIMUR SELATAN,WAI KADAI,82,3,51,5,8203051005,KEPULAUAN SULA,BADAN PUSAT STATISTIK,286,252,128,0,15,0,528,0,112,0,0.477386,1,528,0.477386,125.156954,-1.871689,739945,9792974
144,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,150142.7236,MALUKU UTARA,TALIABU TIMUR SELATAN,MANTARARA,82,3,51,6,8203051006,KEPULAUAN SULA,BADAN PUSAT STATISTIK,156,121,71,0,24,0,276,0,60,0,0.150143,1,276,0.150143,125.081022,-1.885638,731492,9791441
145,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,47210.32879,MALUKU UTARA,TALIABU TIMUR SELATAN,BELO,82,3,51,7,8203051007,KEPULAUAN SULA,BADAN PUSAT STATISTIK,143,133,71,0,20,0,265,0,57,0,0.04721,1,265,0.04721,125.136235,-1.874405,737638,9792676
146,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,150377.3275,MALUKU UTARA,TALIABU TIMUR SELATAN,KAMAYA,82,3,51,8,8203051008,KEPULAUAN SULA,BADAN PUSAT STATISTIK,102,80,54,0,53,0,179,0,41,0,0.150377,1,179,0.150377,125.230109,-1.870348,748087,9793112
147,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,59522.28175,MALUKU UTARA,TALIABU TIMUR SELATAN,WAIKOKA,82,3,51,9,8203051009,KEPULAUAN SULA,BADAN PUSAT STATISTIK,104,110,60,0,10,0,207,0,41,0,0.059522,1,207,0.059522,125.290572,-1.887931,754814,9791158
148,50102,"EKSA ANUGRAH MANDIRI, PT.",BOBONG,20070813,522609.9738,MALUKU UTARA,TALIABU BARAT,BOBONG,82,3,60,1,8203060001,KEPULAUAN SULA,BADAN PUSAT STATISTIK,952,876,914,320,8,0.350109,1828,0.776961,408,317,0.52261,0.984834,1800,0.530658,124.384134,-1.946166,653946,9784826
149,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,5350.52025,MALUKU UTARA,TALIABU BARAT,BOBONG,82,3,60,1,8203060001,KEPULAUAN SULA,BADAN PUSAT STATISTIK,952,876,914,320,8,0.350109,1828,0.776961,408,317,0.005351,0.010083,18,0.530658,124.381264,-1.9424,653627,9785243
150,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,2697.2164,MALUKU UTARA,TALIABU BARAT,BOBONG,82,3,60,1,8203060001,KEPULAUAN SULA,BADAN PUSAT STATISTIK,952,876,914,320,8,0.350109,1828,0.776961,408,317,0.002697,0.005083,9,0.530658,124.38028,-1.941763,653518,9785313
151,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,233790.8945,MALUKU UTARA,TALIABU BARAT,KAWALO,82,3,60,4,8203060004,KEPULAUAN SULA,BADAN PUSAT STATISTIK,739,705,360,0,280,0,1444,0,341,0,0.233791,0.94727,1368,0.246805,124.54392,-2.009094,671716,9777853
152,50102,"EKSA ANUGRAH MANDIRI, PT.",BUSA,20070813,13013.96955,MALUKU UTARA,TALIABU BARAT,KAWALO,82,3,60,4,8203060004,KEPULAUAN SULA,BADAN PUSAT STATISTIK,739,705,360,0,280,0,1444,0,341,0,0.013014,0.05273,76,0.246805,124.562219,-1.951105,673757,9784263
153,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,19495.3319,MALUKU UTARA,TALIABU BARAT,TALLO,82,3,60,16,8203060016,KEPULAUAN SULA,BADAN PUSAT STATISTIK,291,271,87,0,15,0,562,0,124,0,0.019495,0.32065,180,0.060799,124.39746,-2.028819,655421,9775686
154,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,41304.05,MALUKU UTARA,TALIABU BARAT,TALLO,82,3,60,16,8203060016,KEPULAUAN SULA,BADAN PUSAT STATISTIK,291,271,87,0,15,0,562,0,124,0,0.041304,0.67935,382,0.060799,124.398429,-2.002381,655531,9778610
155,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,54524.15685,MALUKU UTARA,TALIABU BARAT LAUT,LIMBO,82,3,60,18,8203060018,KEPULAUAN SULA,BADAN PUSAT STATISTIK,817,859,378,0,70,0,1669,0.002755,363,1,0.054524,1,1669,0.054524,124.315619,-1.790492,646337,9802044
156,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,388500.8128,MALUKU UTARA,TALIABU BARAT,KARAMAT,82,3,60,21,8203060021,KEPULAUAN SULA,BADAN PUSAT STATISTIK,563,575,327,267,1,0.816514,1138,0.798611,288,230,0.388501,1,1138,0.388501,124.342524,-1.899325,649321,9790009
157,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,388500.8128,MALUKU UTARA,TALIABU BARAT,MARANTI JAYA,82,3,60,22,8203060022,KEPULAUAN SULA,BADAN PUSAT STATISTIK,148,127,69,54,0,0.782609,275,0.728571,70,51,0.388501,1,275,0.388501,124.344006,-1.905909,649486,9789281
158,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,68585.94355,MALUKU UTARA,TALIABU BARAT,PANCORAN,82,3,60,23,8203060023,KEPULAUAN SULA,BADAN PUSAT STATISTIK,351,325,225,0,35,0,676,0,188,0,0.068586,1,676,0.068586,124.404498,-2.04431,656202,9773973
159,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,15437.4363,MALUKU UTARA,TALIABU BARAT,HOLBOTA,82,3,60,24,8203060024,KEPULAUAN SULA,BADAN PUSAT STATISTIK,129,119,77,0,6,0,248,0,57,0,0.015437,0.259282,64,0.059539,124.478153,-2.019805,664398,9776675
160,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,35105.03895,MALUKU UTARA,TALIABU BARAT,HOLBOTA,82,3,60,24,8203060024,KEPULAUAN SULA,BADAN PUSAT STATISTIK,129,119,77,0,6,0,248,0,57,0,0.035105,0.589613,146,0.059539,124.467342,-1.951473,663202,9784232
161,50102,"EKSA ANUGRAH MANDIRI, PT.",BEHA,20070813,8996.6436,MALUKU UTARA,TALIABU BARAT,HOLBOTA,82,3,60,24,8203060024,KEPULAUAN SULA,BADAN PUSAT STATISTIK,129,119,77,0,6,0,248,0,57,0,0.008997,0.151105,37,0.059539,124.508609,-1.963745,667792,9782871
162,50102,"EKSA ANUGRAH MANDIRI, PT.",BOBONG,20070813,522609.9738,MALUKU UTARA,TALIABU BARAT,WAYO,82,3,60,26,8203060026,KEPULAUAN SULA,BADAN PUSAT STATISTIK,570,505,249,138,10,0.554217,1075,0.559055,254,142,0.52261,1,1075,0.52261,124.38357,-1.954762,653883,9783876
163,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,143354.5583,MALUKU UTARA,TALIABU UTARA,SAHU,82,3,61,1,8203061001,KEPULAUAN SULA,BADAN PUSAT STATISTIK,658,637,405,0,215,0,1289,0,330,0,0.143355,1,1289,0.143355,124.556256,-1.646366,673123,9817959
164,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,74970.0171,MALUKU UTARA,TALIABU UTARA,MINTON,82,3,61,2,8203061002,KEPULAUAN SULA,BADAN PUSAT STATISTIK,391,327,198,0,50,0,714,0,138,0,0.07497,1,714,0.07497,124.693876,-1.653226,688436,9817188
165,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,120430.6701,MALUKU UTARA,TALIABU UTARA,JORJOGA,82,3,61,3,8203061003,KEPULAUAN SULA,BADAN PUSAT STATISTIK,622,608,293,0,143,0,1228,0,281,0,0.120431,1,1228,0.120431,124.807554,-1.68008,701083,9814207
166,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,122340.8322,MALUKU UTARA,TALIABU UTARA,MANANGA,82,3,61,4,8203061004,KEPULAUAN SULA,BADAN PUSAT STATISTIK,340,376,150,0,12,0,723,0,160,0,0.122341,1,723,0.122341,124.867097,-1.683158,707709,9813860
167,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,82021.78595,MALUKU UTARA,TALIABU UTARA,TANJUNG UNA,82,3,61,5,8203061005,KEPULAUAN SULA,BADAN PUSAT STATISTIK,506,501,218,0,195,0,971,0.005291,189,1,0.082022,1,971,0.082022,124.826784,-1.682607,703223,9813926
168,50102,"EKSA ANUGRAH MANDIRI, PT.",GELA,20070813,110676.3146,MALUKU UTARA,TALIABU UTARA,GELA,82,3,61,6,8203061006,KEPULAUAN SULA,BADAN PUSAT STATISTIK,644,580,356,0,270,0,1225,0,274,0,0.110676,1,1225,0.110676,124.709636,-1.657408,690189,9816724
169,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,86837.65165,MALUKU UTARA,TALIABU UTARA,NUNCA,82,3,61,7,8203061007,KEPULAUAN SULA,BADAN PUSAT STATISTIK,345,286,154,0,43,0,625,0,126,0,0.086838,1,625,0.086838,124.591108,-1.644009,677001,9818217
170,50102,"EKSA ANUGRAH MANDIRI, PT.",NATANGKUNING,20070813,59206.77205,MALUKU UTARA,TALIABU UTARA,TIKONG,82,3,61,8,8203061008,KEPULAUAN SULA,BADAN PUSAT STATISTIK,1249,1181,572,0,217,0,2431,0,571,0,0.059207,0.338076,822,0.175128,124.511254,-1.672657,668113,9815056
171,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,115921.5677,MALUKU UTARA,TALIABU UTARA,TIKONG,82,3,61,8,8203061008,KEPULAUAN SULA,BADAN PUSAT STATISTIK,1249,1181,572,0,217,0,2431,0,571,0,0.115922,0.661924,1609,0.175128,124.524099,-1.665702,669543,9815824
172,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,146029.1493,MALUKU UTARA,TALIABU UTARA,AIR BULAN,82,3,61,9,8203061009,KEPULAUAN SULA,BADAN PUSAT STATISTIK,117,106,56,0,7,0,224,0,44,0,0.146029,1,224,0.146029,124.566925,-1.663163,674308,9816101
173,50102,"EKSA ANUGRAH MANDIRI, PT.",PADANGWANGI,20070813,18467.97225,MALUKU UTARA,TALIABU UTARA,AIR KALIMAT,82,3,61,10,8203061010,KEPULAUAN SULA,BADAN PUSAT STATISTIK,149,142,83,0,11,0,288,0,75,0,0.018468,1,288,0.018468,124.799866,-1.684066,700227,9813767
174,50102,"EKSA ANUGRAH MANDIRI, PT.",BUA,20070813,81461.1796,MALUKU UTARA,TALIABU UTARA,MBONO,82,3,61,12,8203061012,KEPULAUAN SULA,BADAN PUSAT STATISTIK,102,112,64,0,5,0,208,0,46,0,0.081461,0.250497,52,0.325198,124.89878,-1.709861,711232,9810904
175,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,243736.414,MALUKU UTARA,TALIABU UTARA,MBONO,82,3,61,12,8203061012,KEPULAUAN SULA,BADAN PUSAT STATISTIK,102,112,64,0,5,0,208,0,46,0,0.243736,0.749503,156,0.325198,124.93301,-1.705434,715042,9811390
176,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,31465.9225,MALUKU UTARA,TALIABU UTARA,HAI,82,3,61,13,8203061013,KEPULAUAN SULA,BADAN PUSAT STATISTIK,74,74,49,0,4,0,144,0,38,0,0.031466,1,144,0.031466,124.775849,-1.670549,697556,9815264
177,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,60465.04815,MALUKU UTARA,TALIABU UTARA,DEGE,82,3,61,14,8203061014,KEPULAUAN SULA,BADAN PUSAT STATISTIK,118,130,70,0,32,0,246,0,49,0,0.060465,1,246,0.060465,124.748073,-1.670325,694465,9815292
178,50102,"EKSA ANUGRAH MANDIRI, PT.",PADANG,20070813,106955.8267,MALUKU UTARA,TALIABU UTARA,PADANG,82,3,61,15,8203061015,KEPULAUAN SULA,BADAN PUSAT STATISTIK,178,174,78,0,11,0,352,0,83,0,0.106956,1,352,0.106956,124.521629,-1.692559,669266,9812854
179,50102,"EKSA ANUGRAH MANDIRI, PT.",NGGELE,20070813,193330.094,MALUKU UTARA,TALIABU BARAT LAUT,NGGELE,82,3,62,1,8203062001,KEPULAUAN SULA,BADAN PUSAT STATISTIK,1391,1421,528,338,0,0.640152,2811,0.732394,639,468,0.19333,1,2811,0.19333,124.368965,-1.766857,652274,9804653
180,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,46444.13484,MALUKU UTARA,TALIABU BARAT LAUT,SALATI,82,3,62,2,8203062002,KEPULAUAN SULA,BADAN PUSAT STATISTIK,290,316,176,148,0,0.840909,602,0.721854,151,109,0.046444,1,602,0.046444,124.368862,-1.778816,652262,9803330
181,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,30735.5431,MALUKU UTARA,TALIABU BARAT LAUT,BERINGIN JAYA,82,3,62,3,8203062003,KEPULAUAN SULA,BADAN PUSAT STATISTIK,180,166,67,35,0,0.522388,351,0.435897,78,34,0.030736,1,351,0.030736,124.357362,-1.78886,650981,9802221
182,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,20235.92305,MALUKU UTARA,TALIABU BARAT LAUT,KASANGO,82,3,62,4,8203062004,KEPULAUAN SULA,BADAN PUSAT STATISTIK,162,159,77,58,0,0.753247,315,0.671233,73,49,0.020236,1,315,0.020236,124.34193,-1.871453,649258,9793090
183,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,129513.9735,MALUKU UTARA,LEDE,TODOLI,82,3,63,1,8203063001,KEPULAUAN SULA,BADAN PUSAT STATISTIK,570,517,283,0,7,0,1088,0,271,0,0.129514,1,1088,0.129514,124.465047,-1.664103,662973,9816006
184,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,97979.34695,MALUKU UTARA,LEDE,TOLONG,82,3,63,2,8203063002,KEPULAUAN SULA,BADAN PUSAT STATISTIK,351,328,168,0,40,0,681,0,163,0,0.097979,1,681,0.097979,124.43837,-1.665544,660004,9815848
185,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,795220.787,MALUKU UTARA,LEDE,LEDE,82,3,63,3,8203063003,KEPULAUAN SULA,BADAN PUSAT STATISTIK,819,866,440,430,0,0.977273,1689,0.732426,441,323,0.795221,1,1689,0.795221,124.368668,-1.701032,652246,9811930
186,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,795220.787,MALUKU UTARA,LEDE,LANGGANU,82,3,63,6,8203063006,KEPULAUAN SULA,BADAN PUSAT STATISTIK,1140,1181,675,578,20,0.856296,2325,0.68638,558,383,0.795221,1,2325,0.795221,124.371771,-1.697878,652592,9812279
187,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,13942.3151,MALUKU UTARA,TALIABU SELATAN,PENCADO,82,3,64,2,8203064002,KEPULAUAN SULA,BADAN PUSAT STATISTIK,1103,1080,469,0,302,0,2140,0,464,0,0.013942,0.074843,160,0.186287,124.739356,-1.865231,693475,9793740
188,50102,"EKSA ANUGRAH MANDIRI, PT.",PANCADU,20070813,172344.8217,MALUKU UTARA,TALIABU SELATAN,PENCADO,82,3,64,2,8203064002,KEPULAUAN SULA,BADAN PUSAT STATISTIK,1103,1080,469,0,302,0,2140,0,464,0,0.172345,0.925157,1980,0.186287,124.786659,-1.909875,698733,9788797
189,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,1661.84435,MALUKU UTARA,TALIABU SELATAN,TABONA,82,3,64,3,8203064003,KEPULAUAN SULA,BADAN PUSAT STATISTIK,1102,1050,503,0,405,0,2111,0,430,0,0.001662,0.014681,31,0.113197,124.851868,-1.892909,705991,9790666
190,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,3921.16615,MALUKU UTARA,TALIABU SELATAN,TABONA,82,3,64,3,8203064003,KEPULAUAN SULA,BADAN PUSAT STATISTIK,1102,1050,503,0,405,0,2111,0,430,0,0.003921,0.03464,73,0.113197,124.854099,-1.892557,706239,9790705
191,50102,"EKSA ANUGRAH MANDIRI, PT.",MEKARJAYA,20070813,33609.04365,MALUKU UTARA,TALIABU SELATAN,TABONA,82,3,64,3,8203064003,KEPULAUAN SULA,BADAN PUSAT STATISTIK,1102,1050,503,0,405,0,2111,0,430,0,0.033609,0.296908,627,0.113197,124.848259,-1.892926,705589,9790664
192,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,9512.7287,MALUKU UTARA,TALIABU SELATAN,TABONA,82,3,64,3,8203064003,KEPULAUAN SULA,BADAN PUSAT STATISTIK,1102,1050,503,0,405,0,2111,0,430,0,0.009513,0.084037,177,0.113197,124.859649,-1.891218,706857,9790852
193,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,64492.16335,MALUKU UTARA,TALIABU SELATAN,TABONA,82,3,64,3,8203064003,KEPULAUAN SULA,BADAN PUSAT STATISTIK,1102,1050,503,0,405,0,2111,0,430,0,0.064492,0.569734,1203,0.113197,124.864936,-1.891639,707445,9790805
194,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,76779.64398,MALUKU UTARA,TALIABU SELATAN,KILO,82,3,64,4,8203064004,KEPULAUAN SULA,BADAN PUSAT STATISTIK,452,401,361,0,20,0,822,0,156,0,0.07678,1,822,0.07678,124.709987,-1.946733,690198,9784730
